,Not provided in KoNLPy,,Provided in KoNLPy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,JGT,공동격 조사,
JX,보조사,,,,,JX,보조사,JX,보조사,,JX,JX,보조사,,,JX,보조사,JX,보조사,JXC,통용 보조사,"부터, 까지"
,,,,,,,,,,,,,,,,,,,,JXF,종결 보조사,(좋습니다) 그려.
,,,,,,,,,,,,,,,,JP,서술격 조사,JP,서술격 조사,JP,서술격 조사,
EP,선어말어미,EP,선어말어미,PreEomi,선어말어미 (ex: 었),EP,선어말어미,EP,선어말어미,E,EP,EPH,존칭 선어말 어미,E,어미,EP,선어말어미,EP,선어말어미,EP,선어말어미,
,,,,,,,,,,,,EPT,시제 선어말 어미,,,,,,,,,
,,,,,,,,,,,,EPP,공손 선어말 어미,,,,,,,,,
EF,종결 어미,EM,어말 어미,Eomi,"어미 (ex: 다, 요, 여, 하댘ㅋㅋ)",EF,종결 어미,EF,종결 어미,,EF,EFN,평서형 종결 어미,,,EF,종결 어미,EF,종결 어미,EF,종결 어미,
,,,,,,,,,,,,EFQ,의문형 종결 어미,,,,,,,,,
,,,,,,,,,,,,EFO,명령형 종결 어미,,,,,,,,,
,,,,,,,,,,,,EFA,청유형 종결 어미,,,,,,,,,
,,,,,,,,,,,,EFI,감탄형 종결 어미,,,,,,,,,
,,,,,,,,,,,,EFR,존칭형 종결 어미,,,,,,,,,
EC,연결 어미,,,,,EC,연결 어미,EC,연결 어미,,EC,ECE,대등 연결 어미,,,EC,연결 어미,EC,연결 어미,ECC,대등적 연결어미,거나
,,,,,,,,,,,,ECS,보조적 연결 어미,,,,,,,ECX,보조적 연결어미,
,,,,,,,,,,,,ECD,의존적 연결 어미,,,,,,,ECS,종속적 연결어미,도록
ETN,명사형 전성 어미,,,,,ETN,명사형 전성 어미,ETN,명사형 전성 어미,,ET,ETN,명사형 전성 어미,,,ET,전성 어미,ET,전성 어미,ETN,명사형 전성어미,
ETM,관형형 전성 어미,,,,,ETM,관형형 전성 어미,ETM,관형형 전성 어미,,,ETD,관형형 전성 어미,,,,,,,ETM,관형사형 전성어미,려는
XPN,체언 접두사,PF,접두사,,,XPN,체언 접두사,XPN,체언 접두사,X,XP,XPN,체언 접두사,X,접사,XP,접두사,XP,접두사,XP,접두사,
,,,,,,,,,,,,XPV,용언 접두사,,,,,,,,,
XSN,명사파생 접미사,SN,명사화 접미사,Suffix,접미사,XSN,명사파생 접미사,XSN,명사파생 접미사,,XS,XSN,명사파생 접미사,,,XS,접미사,XSN,명사파생 접미사,XSNU,단위 뒤,
,,,,,,,,,,,,,,,,,,,,XSNCA,일반명사 뒤,
,,,,,,,,,,,,,,,,,,,,XSNCC,일반명사 뒤,
,,,,,,,,,,,,,,,,,,,,XSNA,동작성 뒤,
,,,,,,,,,,,,,,,,,,,,XSNS,상태성 뒤,
,,,,,,,,,,,,,,,,,,,,XSNP,"인명 1,3 뒤",
,,,,,,,,,,,,,,,,,,,,XSNX,모든 명사 뒤,
XSV,동사 파생 접미사,SV,동사화 접미사,,,XSV,동사 파생 접미사,XSV,동사 파생 접미사,,,XSV,동사 파생 접미사,,,,,XSV,동사 파생 접미사,XSVV,동사 뒤,시키
,,,,,,,,,,,,,,,,,,,,XSVN,일반명사 뒤,
,,,,,,,,,,,,,,,,,,,,XSVA,동작명사 뒤,
XSA,형용사 파생 접미사,SJ,형용사화 접미사,,,XSA,형용사 파생 접미사,XSA,형용사 파생 접미사,,,XSA,형용사 파생 접미사,,,,,XSM,형용사파생 접미사,XSMS,상태명사 뒤,
,,,,,,,,,,,,,,,,,,,,XSMN,일반명사 뒤,
,,SA,부사화 접미사,,,,,,,,,,,,,,,XSA,부사파생 접미사,XSAM,형용사 뒤,
,,,,,,,,,,,,,,,,,,,,XSAS,상태명사 뒤,
,,SF,기타 접미사,,,,,,,,,,,,,,,,,,,
XR,어근,XR,,,,XR,어근,XR,어근,,XR,XR,어근,,,,,,,,,"불구, 불가피, 타당"
SF,"마침표, 물음표, 느낌표",SY,부호 외래어,Punctuation,구두점,SF,"마침표, 물음표, 느낌표",SF,"마침표, 물음표, 느낌표",S,SF,SF,"마침표, 물음표, 느낌표",S,기호,S,기호,S,기호,SF,마침표,
SE,줄임표,,,,,SE,줄임표,SE,줄임표 …,,SE,SE,줄임표,,,,,,,SE,줄임표,
